user_id,age_group,interests,travel_history,sustainability_preference,budget_level,preferred_activities,travel_style
211,18-24,"Photography,Culture","96,58,17,18",6.6,3,"Wildlife Watching,Historical Sites,Cultural Tours,Hiking,Cycling",Budget
212,55-64,"Wildlife,Photography,Relaxation,Mountains,Adventure","90,8,46,47,18,83,21,6",5.5,5,"Local Cuisine,Swimming,Museums,Kayaking,Cycling",Luxury
213,25-34,"Nature,Adventure",,7.0,5,"Volunteering,Museums,Wildlife Watching,Historical Sites,Eco Tours",Luxury
214,45-54,"History,Food,Adventure,Photography","64,24,4,78,36,84,1,93",7.6,5,"Cultural Tours,Surfing",Adventure
215,35-44,"Nature,Beach,Mountains",,3.4,2,"Surfing,Cycling,Eco Tours,Volunteering,Local Cuisine",Solo
216,65+,"Mountains,Beach","39,31,6,4,74,84,66,60,98",9.3,2,"Volunteering,Museums,Surfing",Eco-conscious
217,45-54,"Photography,Culture,History,Wildlife","65,76,82,50,84,33,41,21,2",3.7,3,"Swimming,Cultural Tours,Cycling",Budget
218,65+,"Wildlife,Mountains,Culture","1,62,67,37,7,89,59,36,79,78",6.4,2,"Local Cuisine,Cycling,Museums,Hiking",Cultural
219,35-44,"Nature,Photography,Relaxation,Adventure,Beach","16,3,46,59,94,74,5,44,43,42",7.7,4,"Wildlife Watching,Historical Sites,Local Cuisine,Surfing",Luxury
220,45-54,"Photography,Mountains,Relaxation,Adventure","10,88,52,56",3.6,5,"Cultural Tours,Historical Sites,Wildlife Watching,Surfing,Hiking",Adventure
221,65+,"Culture,Adventure,History,Food","87,38,17,54,60",8.0,2,"Hiking,Cultural Tours",Adventure
222,35-44,"History,Nature","34,7",6.0,5,"Volunteering,Wildlife Watching,Museums",Budget
223,65+,"Nature,Photography,Food,Mountains","96,14,80,15,47",3.5,4,"Wildlife Watching,Cultural Tours,Museums,Local Cuisine,Eco Tours",Budget
224,35-44,"Culture,Food,History,Beach,Wildlife","63,40,74",3.7,4,"Hiking,Swimming,Surfing",Budget
225,25-34,"Food,Mountains","59,78",9.5,1,"Surfing,Museums,Swimming",Eco-conscious
226,25-34,"Nature,Adventure,Beach,Mountains,Culture",,6.9,1,"Swimming,Surfing,Cultural Tours",Cultural
227,18-24,"Wildlife,Culture,Relaxation,Nature","57,87,5,42",4.6,5,"Wildlife Watching,Hiking,Historical Sites",Solo
228,25-34,"Food,Nature,Culture,Beach,Adventure","47,69,64,73,40",8.6,2,"Historical Sites,Cultural Tours",Solo
229,18-24,"Mountains,Photography,History","14,6,18,29,48,60,95,73",4.2,1,"Museums,Volunteering,Surfing",Luxury
230,45-54,"Wildlife,Culture","39,21,32,79,68,26,41,31,37,46",5.9,4,"Surfing,Eco Tours,Swimming,Cultural Tours,Historical Sites",Family
231,25-34,"Culture,Mountains","11,80",6.6,1,"Cycling,Eco Tours,Surfing",Solo
232,55-64,"Adventure,Relaxation,Food,Photography,Beach","34,39,99,19,55,25,69",6.7,2,"Cultural Tours,Cycling,Wildlife Watching,Swimming",Family
233,45-54,"Nature,History","31,46",8.1,5,"Historical Sites,Hiking",Cultural
234,55-64,"Adventure,Relaxation","61,98,54,57,35,59",3.9,5,"Cultural Tours,Kayaking",Solo
235,18-24,"Wildlife,Culture,Food",23,8.9,4,"Swimming,Hiking,Cycling",Eco-conscious
236,35-44,"Beach,Adventure,Photography,Culture,Nature","6,48,96,99,16,34,1,64,35,17",6.0,4,"Hiking,Eco Tours,Wildlife Watching,Local Cuisine",Cultural
237,25-34,"Mountains,Nature,Photography,Culture","59,75,76,88,14,84,50,55,63,18",6.0,1,"Cultural Tours,Wildlife Watching,Museums,Kayaking,Local Cuisine",Budget
238,25-34,"Beach,Photography,Nature","76,39,8,45,86",4.1,1,"Eco Tours,Swimming,Cycling",Budget
239,45-54,"Photography,Culture,Food,Nature,History","96,79,15,94,35,67,4,75,21",4.9,5,"Hiking,Volunteering,Eco Tours",Luxury
240,55-64,"Wildlife,Mountains,Relaxation,Culture,Adventure","33,64,53,17,22,60,28",9.3,5,"Historical Sites,Swimming,Kayaking,Cycling,Local Cuisine",Eco-conscious
241,18-24,"Adventure,Photography,Beach,Food","43,59,14,45,70,88",5.6,1,"Swimming,Eco Tours,Hiking",Family
242,55-64,"History,Food,Beach,Adventure","3,61",7.3,2,"Swimming,Historical Sites,Hiking,Museums",Budget
243,45-54,"Beach,Adventure","36,35,43,62,100",4.2,3,"Swimming,Local Cuisine,Museums,Surfing",Solo
244,18-24,"Wildlife,Photography","29,64,43,49,3,91,94",6.8,2,"Volunteering,Cycling,Wildlife Watching,Surfing,Cultural Tours",Budget
245,45-54,"Beach,Mountains,Photography,Wildlife",88,7.6,1,"Hiking,Volunteering,Surfing,Museums",Eco-conscious
246,65+,"Wildlife,History,Relaxation","14,4,57,60,38,61,85",4.1,5,"Kayaking,Cycling,Wildlife Watching,Museums,Hiking",Budget
247,18-24,"Food,Beach,Wildlife,Photography,Relaxation","70,63",7.6,4,"Historical Sites,Volunteering,Cycling",Luxury
248,55-64,"Culture,Beach,Relaxation,Wildlife",,9.2,2,"Museums,Cultural Tours",Eco-conscious
249,45-54,"Nature,Wildlife,Adventure,Mountains,History",97,6.6,5,"Wildlife Watching,Cycling,Kayaking,Surfing",Adventure
250,55-64,"Photography,Mountains,Relaxation,Adventure,Wildlife","53,96,2,34,94,40,95,1",7.0,1,"Hiking,Surfing,Wildlife Watching,Volunteering",Solo
251,18-24,"Food,Mountains","86,33,26,82,67,45,90,97",5.3,5,"Kayaking,Cultural Tours,Local Cuisine,Eco Tours",Solo
252,55-64,"Wildlife,Culture,Relaxation,Nature","84,59,96,93,12",6.7,1,"Swimming,Wildlife Watching,Volunteering",Solo
253,25-34,"History,Mountains,Culture,Beach",,5.8,3,"Surfing,Wildlife Watching,Hiking,Historical Sites",Budget
254,65+,"Culture,Beach,Photography,Mountains,Wildlife","76,16,10,15,5,45,47,24",3.7,1,"Local Cuisine,Hiking,Surfing,Eco Tours",Cultural
255,55-64,"Beach,Mountains,Adventure,Nature","56,5,92,57,40,89,53,33,96,93",6.6,1,"Cultural Tours,Surfing",Cultural
256,55-64,"Wildlife,Relaxation,Beach","74,94,30,67",7.1,3,"Cycling,Volunteering",Luxury
257,65+,"Nature,History,Food,Photography,Beach","70,98,97,15,26,54,22,88,52,30",5.7,3,"Swimming,Surfing,Kayaking,Hiking,Local Cuisine",Luxury
258,65+,"Beach,Nature","48,69,67,21,75",6.6,5,"Eco Tours,Swimming,Cultural Tours",Luxury
259,55-64,"History,Relaxation,Culture","79,5,86,29,80,67,34",7.2,2,"Eco Tours,Surfing,Museums,Cultural Tours,Swimming",Luxury
260,25-34,"Culture,History,Beach","68,70,52,2,36,42,16,37,48",3.6,4,"Wildlife Watching,Historical Sites",Cultural
261,55-64,"Photography,Mountains","60,65,26,52",6.6,3,"Historical Sites,Volunteering,Local Cuisine,Swimming,Surfing",Budget
262,65+,"History,Adventure,Mountains,Wildlife,Photography",,4.1,3,"Wildlife Watching,Cultural Tours,Swimming,Hiking,Eco Tours",Family
263,35-44,"History,Nature",92,4.3,3,"Eco Tours,Museums",Luxury
264,18-24,"Culture,History","90,34,9,2,24,17,65,7,73",7.5,4,"Historical Sites,Swimming",Adventure
265,18-24,"Food,Nature,Wildlife","59,32,76,57,88",4.1,3,"Cultural Tours,Local Cuisine,Historical Sites",Luxury
266,35-44,"Culture,Beach,Mountains,History","71,62,15,72,73,92,77",6.5,1,"Swimming,Historical Sites,Surfing",Cultural
267,18-24,"Wildlife,Relaxation,History,Culture","93,5,34",7.4,3,"Kayaking,Museums,Eco Tours,Local Cuisine",Luxury
268,18-24,"Photography,Nature,Wildlife,Mountains,History",41,3.8,2,"Hiking,Kayaking,Surfing,Museums,Cultural Tours",Solo
269,18-24,"Nature,Beach,Food,History,Wildlife","43,46,5,86,30",4.3,4,"Hiking,Surfing",Solo
270,35-44,"Nature,Mountains,Adventure",,5.0,4,"Cycling,Eco Tours",Solo
271,45-54,"Nature,Relaxation,Culture,Wildlife,Photography","83,46,13,14,73,67,49,6,38,15",7.6,1,"Kayaking,Eco Tours",Family
272,18-24,"Nature,Mountains,Wildlife,History","31,29,67,58,74,99,1",3.1,3,"Cultural Tours,Historical Sites,Eco Tours,Cycling",Solo
273,25-34,"Nature,Beach,Wildlife,Photography","78,14,82,66,44",8.9,2,"Cultural Tours,Volunteering,Eco Tours,Cycling,Historical Sites",Cultural
274,35-44,"Wildlife,Culture,Food,Mountains,Relaxation","91,69,3,2,42,34,9,5,21,40",8.9,4,"Swimming,Cultural Tours,Eco Tours",Adventure
275,65+,"Relaxation,Photography,Beach,Adventure","31,25,37,75,42,85,16,32,38,91",8.9,5,"Kayaking,Cycling,Local Cuisine,Surfing",Eco-conscious
276,65+,"History,Culture,Photography,Relaxation,Adventure","58,82,71,19",6.7,5,"Local Cuisine,Kayaking,Wildlife Watching,Hiking,Volunteering",Luxury
277,18-24,"Food,Adventure","16,95,25,52",6.7,4,"Surfing,Cycling,Kayaking,Volunteering,Historical Sites",Adventure
278,65+,"Wildlife,Photography",26,7.4,5,"Cultural Tours,Surfing,Swimming,Volunteering,Eco Tours",Budget
279,45-54,"Photography,Adventure",,6.7,2,"Kayaking,Local Cuisine",Family
280,25-34,"History,Beach",,7.3,2,"Local Cuisine,Swimming,Wildlife Watching,Volunteering,Hiking",Luxury
281,35-44,"Relaxation,History","44,63,75,23,50,99,85,3",4.4,5,"Swimming,Cycling,Museums",Adventure
282,65+,"Nature,Relaxation,Beach","85,62,11,40,33",7.6,3,"Kayaking,Wildlife Watching,Volunteering,Local Cuisine,Museums",Luxury
283,45-54,"Culture,Photography","64,21,96,74,94,54,29,28,42",8.3,2,"Volunteering,Local Cuisine",Eco-conscious
284,25-34,"Culture,Food,Adventure","26,1",5.5,3,"Museums,Cultural Tours,Wildlife Watching,Cycling,Surfing",Adventure
285,55-64,"Wildlife,Photography,Adventure,Culture","19,39,50,98,60,71,81",3.7,4,"Historical Sites,Hiking,Kayaking",Cultural
286,55-64,"History,Wildlife,Culture,Adventure,Mountains","40,70,59,44,64,2",7.7,5,"Historical Sites,Surfing,Cultural Tours,Museums",Cultural
287,45-54,"Beach,Food,Relaxation,Nature","22,36,67,5,2",8.0,3,"Surfing,Volunteering",Budget
288,18-24,"Photography,Adventure,Nature,Mountains,Food","91,38,94,47",7.9,5,"Hiking,Museums,Local Cuisine,Volunteering",Solo
289,55-64,"Adventure,Beach,Food","77,69,48",8.3,3,"Historical Sites,Cycling,Cultural Tours,Hiking,Kayaking",Adventure
290,55-64,"Culture,History,Food,Photography",,6.9,5,"Hiking,Swimming,Historical Sites",Luxury
291,18-24,"Adventure,Nature,Relaxation","72,23,66,60,64",7.6,1,"Volunteering,Wildlife Watching,Swimming,Cycling",Family
292,55-64,"Culture,Photography,History,Adventure,Relaxation","61,59,42,35,73",8.3,5,"Historical Sites,Wildlife Watching,Cycling,Kayaking,Swimming",Adventure
293,45-54,"Wildlife,Food,Adventure","97,51,73,67,88,26,20",3.9,5,"Local Cuisine,Wildlife Watching,Kayaking,Swimming",Solo
294,65+,"Culture,Relaxation,Photography","95,32,75,44",7.7,4,"Hiking,Cultural Tours,Local Cuisine,Kayaking",Budget
295,45-54,"Nature,History,Beach","38,3,88,52,68,25,76,17,37",7.4,5,"Museums,Swimming",Eco-conscious
296,25-34,"Mountains,Photography,Relaxation","9,13,69,7,86,78,20,90,1",5.6,5,"Swimming,Eco Tours,Surfing",Luxury
297,65+,"Culture,History,Beach,Mountains,Wildlife","54,10,33",6.6,3,"Hiking,Volunteering",Adventure
298,45-54,"Nature,Mountains","5,15,68,69",4.3,2,"Local Cuisine,Hiking,Eco Tours",Cultural
299,35-44,"Nature,History",64,5.4,3,"Eco Tours,Surfing",Solo
300,55-64,"Wildlife,History,Mountains,Relaxation","30,47,97,56,27,69",7.6,3,"Museums,Volunteering,Cycling",Solo
301,45-54,"Relaxation,Mountains,Culture,Nature,Beach","12,43,51,16",7.3,1,"Historical Sites,Cycling",Budget
302,25-34,"Photography,Beach,History,Food,Culture",17,8.0,3,"Cultural Tours,Swimming,Wildlife Watching",Adventure
303,45-54,"Food,Mountains,Culture,Beach,Nature","23,83",6.5,5,"Hiking,Historical Sites,Surfing,Kayaking",Luxury
304,65+,"Nature,Relaxation,Wildlife,Adventure,Photography","22,57,16,43,79,92",8.5,5,"Cultural Tours,Volunteering,Museums,Local Cuisine",Eco-conscious
305,18-24,"Adventure,Mountains,Photography","2,77,5,81,29,16,64,57,23,56",3.6,4,"Volunteering,Wildlife Watching,Hiking,Historical Sites",Budget
306,35-44,"Relaxation,History,Nature","91,37,8,89,94,47,27",8.1,2,"Wildlife Watching,Museums,Cultural Tours,Surfing,Kayaking",Budget
307,25-34,"Food,Relaxation,Nature,Photography","92,19,85,66",9.0,4,"Surfing,Volunteering,Cycling,Eco Tours,Historical Sites",Adventure
308,65+,"Wildlife,Adventure,Culture,Beach,Nature","81,42,89,93,20,24,33",5.5,5,"Swimming,Surfing",Family
309,25-34,"Nature,Beach,History,Culture","39,96,77,100,99,93,71",9.1,1,"Hiking,Kayaking",Eco-conscious
310,55-64,"Mountains,Relaxation,Photography,History,Wildlife","38,32,9,64,70,11",4.1,1,"Swimming,Surfing,Hiking,Historical Sites,Kayaking",Luxury
311,25-34,"Food,Wildlife,Adventure","39,30,14,68,21,15,42",3.2,3,"Surfing,Cultural Tours",Adventure
312,18-24,"Food,Relaxation",10,7.8,4,"Cultural Tours,Wildlife Watching,Kayaking",Eco-conscious
313,25-34,"Relaxation,Mountains,Beach","35,59,14,12,93,27",3.1,5,"Cultural Tours,Wildlife Watching,Historical Sites",Budget
314,45-54,"Adventure,Culture,History","12,70,87,73,94,90",5.0,4,"Museums,Cycling",Solo
315,18-24,"Photography,Food,Nature,Wildlife","36,77,44",7.5,1,"Hiking,Cultural Tours,Historical Sites,Eco Tours,Cycling",Eco-conscious
316,35-44,"Photography,Adventure,Culture,Relaxation,Food","58,76,93,54,53,67",7.7,5,"Museums,Swimming,Wildlife Watching,Cycling,Volunteering",Solo
317,35-44,"Food,Nature,Photography,Adventure","43,55,10,64",3.7,2,"Swimming,Eco Tours,Cycling",Budget
318,65+,"Beach,Nature,Photography,Mountains","64,25,51,94,73,97",5.1,1,"Historical Sites,Museums",Budget
319,45-54,"Mountains,Photography,Beach","45,21,37,42,36,19,11",8.3,2,"Swimming,Surfing",Eco-conscious
320,25-34,"Food,History,Culture,Nature","20,45,41,90,26,33,36,12",5.7,1,"Swimming,Museums,Cycling,Surfing",Budget
321,18-24,"Photography,Wildlife","35,37,60,58,62,9",7.5,5,"Cultural Tours,Wildlife Watching",Budget
322,55-64,"History,Wildlife,Adventure,Nature","93,81,61,2,62,46,87",9.5,5,"Surfing,Cultural Tours,Volunteering,Local Cuisine,Swimming",Eco-conscious
323,25-34,"Food,Nature,History,Culture,Wildlife","86,62,65,40,92,60,29",7.1,5,"Cycling,Local Cuisine",Eco-conscious
324,18-24,"Food,Nature","78,20,77",5.9,4,"Cycling,Cultural Tours,Eco Tours",Solo
325,65+,"Culture,Adventure,History,Food",41,4.6,3,"Surfing,Kayaking,Eco Tours,Hiking,Local Cuisine",Luxury
326,45-54,"Culture,Beach,Food,Adventure,Photography","35,9,23,10,51,20,13",6.5,3,"Historical Sites,Local Cuisine,Volunteering,Surfing,Cultural Tours",Adventure
327,35-44,"Wildlife,Food,Relaxation","21,77,78,71,10",8.4,2,"Cycling,Cultural Tours,Swimming,Museums,Local Cuisine",Budget
328,55-64,"Nature,Food,Wildlife",,8.9,2,"Wildlife Watching,Kayaking,Hiking",Budget
329,35-44,"Adventure,Beach,Food,Mountains","59,84,25",7.8,2,"Local Cuisine,Eco Tours,Swimming,Cultural Tours,Cycling",Family
330,45-54,"Culture,Mountains,Wildlife,History",,7.6,2,"Kayaking,Cycling",Budget
331,45-54,"Beach,Food,Nature",63,7.7,3,"Volunteering,Swimming,Historical Sites,Hiking,Local Cuisine",Family
332,25-34,"Food,Culture,Mountains",1,5.9,3,"Hiking,Eco Tours,Wildlife Watching",Adventure
333,65+,"Adventure,Relaxation,Wildlife,Photography,Mountains","56,61,29",7.1,5,"Cycling,Hiking,Kayaking",Eco-conscious
334,35-44,"Food,Photography,Nature",,8.5,4,"Historical Sites,Museums,Kayaking,Eco Tours",Eco-conscious
335,35-44,"Adventure,History,Relaxation","65,47,55",7.5,1,"Eco Tours,Cycling",Eco-conscious
336,18-24,"Adventure,Wildlife","26,77,40,97,44,91,87,88",5.7,2,"Volunteering,Museums,Wildlife Watching,Local Cuisine",Solo
337,45-54,"Photography,Culture,Adventure,History","28,65",5.6,1,"Eco Tours,Cycling,Museums",Budget
338,18-24,"Beach,Food,Photography","58,22,24,97,90,7,8",4.9,4,"Cycling,Local Cuisine,Museums",Budget
339,55-64,"Culture,Mountains,Photography,History,Adventure","55,90,89,78",5.1,5,"Wildlife Watching,Eco Tours",Adventure
340,25-34,"Beach,Wildlife,Food","7,72,40",3.9,2,"Cultural Tours,Swimming,Wildlife Watching",Budget
341,18-24,"Photography,Adventure,History","14,55,18,49,87,9",4.0,1,"Swimming,Local Cuisine,Cycling,Eco Tours",Luxury
342,45-54,"Food,Mountains,Beach,Culture","11,12,61,66",8.8,2,"Cycling,Swimming,Historical Sites",Adventure
343,18-24,"Mountains,Nature,Wildlife,History,Food","10,94,54",5.0,4,"Museums,Cultural Tours,Swimming,Surfing,Eco Tours",Family
344,35-44,"History,Mountains,Wildlife,Culture,Food","5,55,2,72,76,3,35,98,85",4.8,3,"Swimming,Local Cuisine,Museums,Eco Tours,Wildlife Watching",Luxury
345,45-54,"Adventure,Beach,Relaxation,Food","83,16,27,49,9,65,78",4.6,3,"Surfing,Swimming,Historical Sites,Wildlife Watching,Volunteering",Family
346,25-34,"Photography,Adventure","26,14,75,83",7.2,4,"Volunteering,Swimming,Hiking,Eco Tours",Family
347,35-44,"Food,History,Nature,Wildlife","10,91,58,54,12,30,17",4.7,3,"Cycling,Historical Sites,Volunteering,Swimming,Hiking",Family
348,25-34,"Photography,History,Food","33,53,71,100,47,68,19",10.0,5,"Cultural Tours,Volunteering",Eco-conscious
349,35-44,"Photography,Relaxation,Mountains,Beach","84,50,61,71,99,5",3.4,2,"Surfing,Volunteering,Cycling,Kayaking,Eco Tours",Budget
350,18-24,"Nature,Adventure,Food","64,94,74,38,72,20,1",8.6,4,"Cultural Tours,Museums,Hiking,Swimming,Surfing",Solo
351,65+,"Mountains,Adventure,Relaxation,Culture","6,65,51",6.1,1,"Historical Sites,Swimming,Volunteering",Cultural
352,55-64,"Adventure,Photography,Culture,Mountains","24,53,83,50",5.4,2,"Hiking,Kayaking,Volunteering,Eco Tours,Cultural Tours",Family
353,45-54,"History,Food,Mountains","90,50,84,81,99",8.5,5,"Cultural Tours,Local Cuisine",Eco-conscious
354,35-44,"Adventure,Photography,Nature","12,57,36,98,11",8.8,2,"Cycling,Cultural Tours,Hiking,Wildlife Watching,Local Cuisine",Adventure
355,25-34,"Nature,Mountains,Beach",60,4.7,2,"Hiking,Cultural Tours,Cycling",Cultural
356,65+,"Adventure,History,Nature,Mountains","74,37,50",8.4,2,"Eco Tours,Swimming",Eco-conscious
357,18-24,"History,Nature","38,86,39,75,92,51,31,17,56",7.3,1,"Wildlife Watching,Cycling,Eco Tours",Eco-conscious
358,55-64,"Wildlife,Photography,Culture",,7.9,1,"Local Cuisine,Surfing,Cultural Tours,Hiking,Swimming",Family
359,65+,"History,Culture,Food","96,4,100,98,24,28,99",4.9,2,"Kayaking,Swimming",Luxury
360,55-64,"Beach,Nature,History","96,87,39,68,16",8.4,1,"Volunteering,Hiking",Eco-conscious
361,35-44,"Adventure,Beach,Relaxation,Nature",,7.5,5,"Wildlife Watching,Eco Tours,Hiking,Kayaking,Swimming",Solo
362,18-24,"Wildlife,Culture,Adventure,Photography,History",,7.4,3,"Swimming,Kayaking,Local Cuisine,Wildlife Watching,Cycling",Luxury
363,25-34,"Wildlife,Relaxation,Photography","13,34,74,79,14,93,86",4.1,3,"Hiking,Volunteering,Surfing,Museums",Budget
364,35-44,"Beach,Photography,Mountains","32,74,73,62,82,86,64",8.6,2,"Historical Sites,Hiking,Wildlife Watching",Eco-conscious
365,65+,"Photography,History","4,61,79",3.1,4,"Cycling,Surfing,Local Cuisine",Adventure
366,35-44,"Photography,History,Mountains","55,60,97,20",9.1,3,"Wildlife Watching,Cultural Tours,Historical Sites,Volunteering,Hiking",Eco-conscious
367,45-54,"Nature,Mountains,Relaxation,Culture","19,6,65,35",4.1,1,"Historical Sites,Swimming,Eco Tours",Budget
368,35-44,"Photography,Food,Nature",,8.3,4,"Museums,Local Cuisine,Historical Sites,Surfing",Adventure
369,55-64,"Beach,Wildlife,Culture,Adventure","99,58,46,42,28,76,51,79,1,11",4.7,3,"Cultural Tours,Volunteering,Surfing,Eco Tours",Family
370,45-54,"Beach,History,Wildlife,Mountains,Adventure","23,83,3,57,76,95,52,69,90",7.1,4,"Historical Sites,Hiking,Swimming",Family
371,45-54,"History,Food,Photography,Nature,Mountains","93,68",3.5,1,"Historical Sites,Eco Tours,Museums,Cultural Tours",Cultural
372,55-64,"Relaxation,Beach,History,Nature","67,62,3,66",7.7,1,"Local Cuisine,Wildlife Watching,Surfing,Eco Tours,Cycling",Family
373,45-54,"Mountains,Photography,Wildlife,Food,Beach","39,81",7.9,5,"Kayaking,Museums,Eco Tours,Swimming",Budget
374,35-44,"Food,Culture","62,81,20,14",7.9,2,"Museums,Wildlife Watching,Hiking,Swimming",Family
375,55-64,"Beach,Nature,Photography,Mountains","84,11,90,33,64,43,49",7.6,3,"Eco Tours,Museums,Cycling",Cultural
376,45-54,"Photography,Nature,Wildlife","38,18,72,43,59,19,51,4",6.0,2,"Eco Tours,Local Cuisine,Cycling,Wildlife Watching",Luxury
377,25-34,"Wildlife,Photography,Food,Relaxation","40,91,56,50,39,89,28,37,43,87",3.3,4,"Eco Tours,Local Cuisine,Volunteering,Museums,Swimming",Cultural
378,18-24,"Adventure,Relaxation,Culture","54,11,92,39,82,76,80,38",8.8,5,"Historical Sites,Hiking,Cycling,Local Cuisine",Solo
379,45-54,"History,Photography,Beach,Mountains","49,5,26,12",3.1,5,"Wildlife Watching,Surfing,Museums,Cycling,Kayaking",Solo
380,35-44,"Photography,Wildlife,Relaxation","34,43,90,88,73,66,40,70,71,76",4.7,3,"Local Cuisine,Cultural Tours",Cultural
381,25-34,"Wildlife,Mountains,Beach,History","17,9,55,32,18,13,84",7.7,3,"Surfing,Swimming,Hiking,Wildlife Watching,Cultural Tours",Cultural
382,45-54,"Mountains,Beach,Culture,Food","50,95,39,79,27,52",5.3,4,"Swimming,Local Cuisine,Hiking,Historical Sites,Surfing",Family
383,18-24,"Adventure,Food,Mountains,Photography,Wildlife","23,32,72,79",8.7,4,"Hiking,Kayaking,Historical Sites,Cycling,Swimming",Budget
384,45-54,"Beach,Mountains","82,60",8.4,3,"Cultural Tours,Volunteering,Hiking,Kayaking,Local Cuisine",Cultural
385,35-44,"Photography,Culture,Adventure,Nature,Wildlife","32,39,1,9,11,72,52",7.0,3,"Cycling,Swimming,Cultural Tours",Budget
386,65+,"Wildlife,Relaxation,Adventure","82,88,2,77,23,79,89,80,76",6.9,1,"Cycling,Swimming,Volunteering,Local Cuisine",Solo
387,18-24,"History,Mountains,Food",,4.9,5,"Local Cuisine,Museums,Cultural Tours,Hiking,Volunteering",Luxury
388,18-24,"Relaxation,Mountains","73,83,64,38,76,86,89,90,49,32",7.4,3,"Hiking,Cycling,Wildlife Watching",Family
389,35-44,"History,Adventure","83,92,67,24,29,61,86,2,45,8",7.7,5,"Wildlife Watching,Historical Sites,Eco Tours,Hiking",Family
390,45-54,"Wildlife,Photography,Mountains,Adventure,History","36,53,40,4,54,18,46,56",5.3,1,"Kayaking,Hiking",Luxury
391,65+,"Adventure,Photography","53,32,94,43,20,24,55,80,74",7.6,3,"Wildlife Watching,Kayaking",Adventure
392,18-24,"Photography,History,Culture","70,78,47,81,15",8.8,3,"Volunteering,Swimming,Hiking,Surfing,Wildlife Watching",Solo
393,25-34,"Relaxation,History",,7.2,5,"Surfing,Wildlife Watching,Swimming,Volunteering",Eco-conscious
394,45-54,"Food,Photography,Nature,Culture,Adventure",,4.5,4,"Eco Tours,Cycling,Kayaking,Swimming,Cultural Tours",Budget
395,45-54,"Food,Beach,Wildlife","66,15,9,97,24,77,85,84,82,53",9.8,1,"Historical Sites,Swimming,Museums",Eco-conscious
396,18-24,"Mountains,Beach,Relaxation,Nature,History","10,16,42,7,25,47,87,37,100,1",7.9,5,"Local Cuisine,Historical Sites,Volunteering,Cultural Tours,Wildlife Watching",Luxury
397,35-44,"Culture,Beach","30,59,86,26,13,49,19,60,35",8.5,5,"Volunteering,Cultural Tours,Museums",Budget
398,65+,"Food,Wildlife,Beach,Photography","92,15,3,68,44,58,98",7.9,2,"Swimming,Local Cuisine",Budget
399,45-54,"Culture,Adventure","39,22,77,37,6",9.3,3,"Eco Tours,Wildlife Watching,Museums,Swimming",Eco-conscious
400,35-44,"History,Adventure,Beach,Food",,3.7,1,"Cultural Tours,Local Cuisine,Eco Tours,Historical Sites",Solo
401,18-24,"Photography,Adventure",,6.3,5,"Cycling,Cultural Tours,Museums,Eco Tours",Luxury
402,25-34,"Photography,Food,Culture,Beach,Adventure","77,56,24",3.6,4,"Volunteering,Cycling",Adventure
403,35-44,"Mountains,Wildlife","9,22,68,4,93,95,26",4.2,4,"Cultural Tours,Historical Sites,Hiking,Kayaking",Adventure
404,35-44,"Mountains,Culture,Food,Wildlife,Relaxation","19,50,94,60,63,5,22",6.0,5,"Hiking,Historical Sites,Cultural Tours,Surfing",Solo
405,35-44,"Beach,Photography,Nature,Adventure,History","42,51,83,85",7.9,1,"Museums,Kayaking,Hiking,Cultural Tours",Adventure
406,65+,"Adventure,History,Wildlife,Relaxation,Beach","38,94,3,42",5.1,1,"Swimming,Cultural Tours,Eco Tours",Budget
407,25-34,"Relaxation,Photography,Mountains,Adventure","28,69,83,32,71,40,46,18,23,38",8.3,2,"Wildlife Watching,Surfing,Swimming,Kayaking",Cultural
408,35-44,"Photography,Nature,Relaxation,Culture","32,77,13,15",6.5,5,"Hiking,Historical Sites",Luxury
409,65+,"Wildlife,Mountains,Adventure","53,26,89,5,82,58,97,9",6.0,5,"Volunteering,Surfing,Cultural Tours,Eco Tours,Swimming",Budget
410,55-64,"Relaxation,Mountains","5,36,33,26",7.7,5,"Kayaking,Historical Sites,Eco Tours",Eco-conscious
411,25-34,"Food,Beach,Mountains,Nature,Photography","52,6,85,37,4,56,25",6.6,4,"Surfing,Cultural Tours,Local Cuisine",Family
412,65+,"Food,Mountains","95,1,11,32,90,13,89,68,43",7.9,5,"Surfing,Volunteering",Eco-conscious
413,35-44,"Nature,Wildlife,Relaxation","58,85,32,59,13,30,10",6.4,3,"Volunteering,Hiking,Eco Tours,Museums",Cultural
414,18-24,"Food,Beach","71,40,24,65",5.8,5,"Local Cuisine,Volunteering,Hiking,Kayaking,Eco Tours",Solo
415,18-24,"Beach,Mountains,Nature,Wildlife","39,35",7.8,2,"Historical Sites,Eco Tours,Kayaking,Swimming",Cultural
416,65+,"Adventure,Photography,Beach,History","22,21,46,38,63",4.7,2,"Cultural Tours,Museums,Volunteering",Solo
417,55-64,"Wildlife,Adventure,Relaxation,Nature",55,5.6,2,"Eco Tours,Cultural Tours,Historical Sites",Budget
418,55-64,"Relaxation,Mountains,Beach","99,53,26,64,29",8.5,1,"Swimming,Historical Sites,Eco Tours",Budget
419,55-64,"Culture,Wildlife,History","73,27,26,35,50,66,57",9.8,2,"Surfing,Cultural Tours",Eco-conscious
