activity_id,name,description,destination_id,category,environmental_impact_score,local_community_benefit_score,resource_consumption_score,seasonal_availability
274,Relaxation Activity 274,This is a relaxation activity in destination 68,68,Relaxation,3.1,4.8,6.4,Spring/Fall
275,Culinary Activity 275,This is a culinary activity in destination 68,68,Culinary,3.4,4.3,2.2,Spring/Fall
276,Educational Activity 276,This is a educational activity in destination 68,68,Educational,3.3,7.0,6.4,Spring/Fall
277,Educational Activity 277,This is a educational activity in destination 68,68,Educational,5.5,5.2,3.0,Winter only
278,Volunteer Activity 278,This is a volunteer activity in destination 68,68,Volunteer,1.4,9.6,9.9,Seasonal
279,Volunteer Activity 279,This is a volunteer activity in destination 69,69,Volunteer,1.5,10.0,7.6,Winter only
280,Cultural Activity 280,This is a cultural activity in destination 69,69,Cultural,5.6,8.5,7.1,Summer only
281,Nature Activity 281,This is a nature activity in destination 69,69,Nature,2.1,9.7,9.9,Winter only
282,Adventure Activity 282,This is a adventure activity in destination 69,69,Adventure,4.5,4.0,8.4,Winter only
283,Educational Activity 283,This is a educational activity in destination 69,69,Educational,5.1,7.3,7.6,Year-round
284,Cultural Activity 284,This is a cultural activity in destination 70,70,Cultural,6.5,6.3,9.8,Year-round
285,Adventure Activity 285,This is a adventure activity in destination 70,70,Adventure,6.6,7.4,4.2,Seasonal
286,Adventure Activity 286,This is a adventure activity in destination 70,70,Adventure,4.8,3.2,3.0,Seasonal
287,Educational Activity 287,This is a educational activity in destination 70,70,Educational,4.6,7.7,9.9,Seasonal
288,Cultural Activity 288,This is a cultural activity in destination 70,70,Cultural,4.2,5.7,8.1,Year-round
289,Nature Activity 289,This is a nature activity in destination 71,71,Nature,4.7,6.5,1.2,Seasonal
290,Nature Activity 290,This is a nature activity in destination 71,71,Nature,4.7,9.0,6.3,Summer only
291,Relaxation Activity 291,This is a relaxation activity in destination 72,72,Relaxation,5.0,4.9,9.9,Seasonal
292,Relaxation Activity 292,This is a relaxation activity in destination 72,72,Relaxation,3.1,7.0,4.9,Year-round
293,Educational Activity 293,This is a educational activity in destination 72,72,Educational,4.5,8.1,2.8,Seasonal
294,Nature Activity 294,This is a nature activity in destination 73,73,Nature,3.5,6.5,6.5,Seasonal
295,Culinary Activity 295,This is a culinary activity in destination 73,73,Culinary,5.8,4.1,9.0,Year-round
296,Volunteer Activity 296,This is a volunteer activity in destination 74,74,Volunteer,4.1,7.5,6.4,Seasonal
297,Volunteer Activity 297,This is a volunteer activity in destination 74,74,Volunteer,4.2,7.5,2.3,Year-round
298,Educational Activity 298,This is a educational activity in destination 75,75,Educational,6.5,6.5,9.7,Spring/Fall
299,Cultural Activity 299,This is a cultural activity in destination 75,75,Cultural,3.2,7.7,9.9,Winter only
300,Cultural Activity 300,This is a cultural activity in destination 75,75,Cultural,6.4,8.2,4.9,Seasonal
301,Relaxation Activity 301,This is a relaxation activity in destination 75,75,Relaxation,5.1,8.7,2.5,Winter only
302,Nature Activity 302,This is a nature activity in destination 76,76,Nature,1.1,9.3,2.3,Spring/Fall
303,Culinary Activity 303,This is a culinary activity in destination 76,76,Culinary,3.6,5.4,5.4,Winter only
304,Culinary Activity 304,This is a culinary activity in destination 76,76,Culinary,6.5,6.5,7.2,Spring/Fall
305,Nature Activity 305,This is a nature activity in destination 76,76,Nature,4.5,8.6,5.3,Year-round
306,Educational Activity 306,This is a educational activity in destination 76,76,Educational,4.0,5.0,2.7,Spring/Fall
307,Cultural Activity 307,This is a cultural activity in destination 77,77,Cultural,5.1,7.4,4.9,Winter only
308,Adventure Activity 308,This is a adventure activity in destination 77,77,Adventure,7.6,6.5,5.5,Seasonal
309,Culinary Activity 309,This is a culinary activity in destination 77,77,Culinary,4.2,4.3,5.9,Year-round
310,Relaxation Activity 310,This is a relaxation activity in destination 78,78,Relaxation,5.0,8.7,6.3,Winter only
311,Nature Activity 311,This is a nature activity in destination 78,78,Nature,4.5,9.1,6.7,Seasonal
312,Volunteer Activity 312,This is a volunteer activity in destination 78,78,Volunteer,1.5,6.5,1.8,Summer only
313,Nature Activity 313,This is a nature activity in destination 78,78,Nature,1.9,9.6,8.1,Summer only
314,Volunteer Activity 314,This is a volunteer activity in destination 78,78,Volunteer,2.8,6.1,3.7,Spring/Fall
315,Culinary Activity 315,This is a culinary activity in destination 79,79,Culinary,6.9,7.2,5.1,Year-round
316,Nature Activity 316,This is a nature activity in destination 79,79,Nature,1.7,7.8,8.0,Year-round
317,Culinary Activity 317,This is a culinary activity in destination 80,80,Culinary,4.3,6.0,8.4,Spring/Fall
318,Cultural Activity 318,This is a cultural activity in destination 80,80,Cultural,6.3,5.9,9.2,Seasonal
319,Nature Activity 319,This is a nature activity in destination 81,81,Nature,1.6,7.5,2.7,Winter only
320,Volunteer Activity 320,This is a volunteer activity in destination 81,81,Volunteer,2.0,9.2,1.9,Spring/Fall
321,Educational Activity 321,This is a educational activity in destination 81,81,Educational,5.3,6.3,5.0,Seasonal
322,Educational Activity 322,This is a educational activity in destination 81,81,Educational,5.7,8.5,5.4,Year-round
323,Adventure Activity 323,This is a adventure activity in destination 81,81,Adventure,4.5,6.7,4.5,Year-round
324,Volunteer Activity 324,This is a volunteer activity in destination 81,81,Volunteer,3.6,6.4,5.6,Year-round
325,Relaxation Activity 325,This is a relaxation activity in destination 82,82,Relaxation,4.8,8.0,9.8,Year-round
326,Relaxation Activity 326,This is a relaxation activity in destination 82,82,Relaxation,3.9,5.8,3.6,Seasonal
327,Culinary Activity 327,This is a culinary activity in destination 82,82,Culinary,3.7,8.5,3.0,Winter only
328,Adventure Activity 328,This is a adventure activity in destination 82,82,Adventure,5.0,7.7,1.1,Spring/Fall
329,Cultural Activity 329,This is a cultural activity in destination 82,82,Cultural,4.9,8.8,9.0,Spring/Fall
330,Culinary Activity 330,This is a culinary activity in destination 82,82,Culinary,4.3,8.9,5.9,Seasonal
331,Adventure Activity 331,This is a adventure activity in destination 83,83,Adventure,7.2,4.5,3.2,Spring/Fall
332,Nature Activity 332,This is a nature activity in destination 83,83,Nature,2.7,8.2,4.9,Spring/Fall
333,Nature Activity 333,This is a nature activity in destination 83,83,Nature,1.3,6.3,9.6,Seasonal
334,Culinary Activity 334,This is a culinary activity in destination 83,83,Culinary,3.8,5.4,7.1,Spring/Fall
335,Relaxation Activity 335,This is a relaxation activity in destination 84,84,Relaxation,5.5,4.4,5.4,Summer only
336,Educational Activity 336,This is a educational activity in destination 84,84,Educational,5.8,8.8,6.4,Seasonal
337,Cultural Activity 337,This is a cultural activity in destination 84,84,Cultural,4.1,9.0,1.1,Spring/Fall
338,Culinary Activity 338,This is a culinary activity in destination 84,84,Culinary,6.1,4.8,3.3,Summer only
339,Adventure Activity 339,This is a adventure activity in destination 84,84,Adventure,7.6,6.8,7.9,Year-round
340,Nature Activity 340,This is a nature activity in destination 85,85,Nature,3.2,6.2,9.4,Year-round
341,Educational Activity 341,This is a educational activity in destination 85,85,Educational,6.2,4.2,9.4,Spring/Fall
342,Volunteer Activity 342,This is a volunteer activity in destination 86,86,Volunteer,2.3,9.1,3.0,Summer only
343,Relaxation Activity 343,This is a relaxation activity in destination 86,86,Relaxation,5.9,4.2,8.5,Year-round
344,Volunteer Activity 344,This is a volunteer activity in destination 86,86,Volunteer,1.9,6.6,9.7,Winter only
345,Relaxation Activity 345,This is a relaxation activity in destination 86,86,Relaxation,3.6,4.5,2.4,Year-round
346,Nature Activity 346,This is a nature activity in destination 86,86,Nature,1.8,6.3,10.0,Seasonal
347,Relaxation Activity 347,This is a relaxation activity in destination 87,87,Relaxation,3.6,4.7,3.2,Spring/Fall
348,Educational Activity 348,This is a educational activity in destination 87,87,Educational,4.9,5.5,4.3,Year-round
349,Cultural Activity 349,This is a cultural activity in destination 87,87,Cultural,3.2,8.5,1.3,Winter only
350,Culinary Activity 350,This is a culinary activity in destination 87,87,Culinary,5.1,5.9,4.6,Seasonal
351,Volunteer Activity 351,This is a volunteer activity in destination 87,87,Volunteer,1.5,7.1,6.1,Winter only
352,Volunteer Activity 352,This is a volunteer activity in destination 88,88,Volunteer,3.2,6.7,4.2,Year-round
353,Relaxation Activity 353,This is a relaxation activity in destination 88,88,Relaxation,6.1,8.5,1.6,Seasonal
354,Adventure Activity 354,This is a adventure activity in destination 88,88,Adventure,4.3,7.0,3.1,Spring/Fall
355,Culinary Activity 355,This is a culinary activity in destination 88,88,Culinary,5.7,6.5,2.0,Spring/Fall
356,Nature Activity 356,This is a nature activity in destination 88,88,Nature,2.1,9.6,9.0,Spring/Fall
357,Cultural Activity 357,This is a cultural activity in destination 89,89,Cultural,3.7,7.8,1.1,Summer only
358,Cultural Activity 358,This is a cultural activity in destination 89,89,Cultural,6.2,6.5,6.5,Year-round
359,Volunteer Activity 359,This is a volunteer activity in destination 89,89,Volunteer,1.9,6.1,7.1,Winter only
360,Adventure Activity 360,This is a adventure activity in destination 89,89,Adventure,6.3,6.0,3.7,Year-round
361,Nature Activity 361,This is a nature activity in destination 89,89,Nature,2.9,9.4,5.3,Seasonal
362,Volunteer Activity 362,This is a volunteer activity in destination 90,90,Volunteer,1.7,6.2,2.7,Seasonal
363,Cultural Activity 363,This is a cultural activity in destination 90,90,Cultural,4.9,5.9,4.7,Winter only
364,Adventure Activity 364,This is a adventure activity in destination 90,90,Adventure,6.0,3.8,7.8,Summer only
365,Educational Activity 365,This is a educational activity in destination 90,90,Educational,6.1,6.5,6.8,Year-round
366,Nature Activity 366,This is a nature activity in destination 90,90,Nature,2.8,7.0,4.2,Winter only
367,Culinary Activity 367,This is a culinary activity in destination 90,90,Culinary,3.1,5.6,4.4,Winter only
368,Cultural Activity 368,This is a cultural activity in destination 91,91,Cultural,3.5,5.0,6.7,Summer only
369,Volunteer Activity 369,This is a volunteer activity in destination 91,91,Volunteer,3.6,7.9,7.7,Summer only
370,Adventure Activity 370,This is a adventure activity in destination 91,91,Adventure,5.6,4.3,9.7,Year-round
371,Adventure Activity 371,This is a adventure activity in destination 91,91,Adventure,4.4,6.7,9.3,Year-round
372,Adventure Activity 372,This is a adventure activity in destination 91,91,Adventure,5.7,4.5,8.5,Winter only
373,Culinary Activity 373,This is a culinary activity in destination 92,92,Culinary,5.1,4.8,4.8,Spring/Fall
374,Culinary Activity 374,This is a culinary activity in destination 92,92,Culinary,5.2,6.2,6.8,Seasonal
375,Culinary Activity 375,This is a culinary activity in destination 92,92,Culinary,4.0,5.3,4.0,Summer only
376,Cultural Activity 376,This is a cultural activity in destination 92,92,Cultural,3.9,4.4,1.3,Winter only
377,Cultural Activity 377,This is a cultural activity in destination 92,92,Cultural,5.9,8.9,1.2,Summer only
378,Culinary Activity 378,This is a culinary activity in destination 92,92,Culinary,4.7,4.3,2.2,Spring/Fall
379,Culinary Activity 379,This is a culinary activity in destination 93,93,Culinary,4.8,7.7,2.6,Seasonal
380,Adventure Activity 380,This is a adventure activity in destination 93,93,Adventure,6.9,6.9,3.1,Summer only
381,Cultural Activity 381,This is a cultural activity in destination 93,93,Cultural,4.4,4.6,6.9,Year-round
382,Cultural Activity 382,This is a cultural activity in destination 93,93,Cultural,4.1,5.9,2.2,Year-round
383,Cultural Activity 383,This is a cultural activity in destination 93,93,Cultural,5.1,6.2,4.2,Summer only
384,Adventure Activity 384,This is a adventure activity in destination 94,94,Adventure,4.8,5.6,1.8,Seasonal
385,Adventure Activity 385,This is a adventure activity in destination 94,94,Adventure,6.4,3.0,6.6,Seasonal
386,Volunteer Activity 386,This is a volunteer activity in destination 95,95,Volunteer,2.4,6.0,1.3,Summer only
387,Nature Activity 387,This is a nature activity in destination 95,95,Nature,4.1,9.3,9.0,Winter only
388,Culinary Activity 388,This is a culinary activity in destination 95,95,Culinary,3.7,7.9,2.4,Summer only
389,Volunteer Activity 389,This is a volunteer activity in destination 95,95,Volunteer,2.0,8.0,9.6,Spring/Fall
390,Nature Activity 390,This is a nature activity in destination 95,95,Nature,1.4,9.7,7.5,Summer only
391,Educational Activity 391,This is a educational activity in destination 95,95,Educational,3.8,8.7,5.1,Spring/Fall
392,Culinary Activity 392,This is a culinary activity in destination 96,96,Culinary,5.3,6.5,1.4,Summer only
393,Cultural Activity 393,This is a cultural activity in destination 96,96,Cultural,6.0,4.5,9.5,Year-round
394,Adventure Activity 394,This is a adventure activity in destination 96,96,Adventure,6.8,6.0,3.3,Year-round
395,Nature Activity 395,This is a nature activity in destination 96,96,Nature,3.7,6.2,2.2,Spring/Fall
396,Volunteer Activity 396,This is a volunteer activity in destination 97,97,Volunteer,2.2,8.7,4.0,Spring/Fall
397,Relaxation Activity 397,This is a relaxation activity in destination 97,97,Relaxation,3.3,6.9,6.6,Seasonal
398,Educational Activity 398,This is a educational activity in destination 98,98,Educational,3.6,5.7,2.3,Summer only
399,Educational Activity 399,This is a educational activity in destination 98,98,Educational,3.6,6.5,3.5,Seasonal
400,Relaxation Activity 400,This is a relaxation activity in destination 98,98,Relaxation,6.0,5.3,1.7,Year-round
401,Relaxation Activity 401,This is a relaxation activity in destination 98,98,Relaxation,4.5,8.5,10.0,Seasonal
402,Adventure Activity 402,This is a adventure activity in destination 98,98,Adventure,6.9,7.7,2.0,Summer only
403,Cultural Activity 403,This is a cultural activity in destination 99,99,Cultural,3.2,9.0,6.5,Year-round
404,Educational Activity 404,This is a educational activity in destination 99,99,Educational,4.3,4.5,5.1,Summer only
405,Educational Activity 405,This is a educational activity in destination 99,99,Educational,4.8,6.5,7.4,Seasonal
406,Cultural Activity 406,This is a cultural activity in destination 99,99,Cultural,3.1,4.0,5.6,Seasonal
407,Educational Activity 407,This is a educational activity in destination 100,100,Educational,5.1,4.2,8.7,Spring/Fall
408,Volunteer Activity 408,This is a volunteer activity in destination 100,100,Volunteer,1.3,8.5,8.3,Summer only
409,Culinary Activity 409,This is a culinary activity in destination 100,100,Culinary,6.9,4.9,2.3,Year-round
