user_id,age_group,interests,travel_history,sustainability_preference,budget_level,preferred_activities,travel_style
210,35-44,"Adventure,Photography,Wildlife,Relaxation","86,32",7.1,1,"Cycling,Wildlife Watching,Museums",Eco-conscious
211,35-44,"Photography,History","46,27,65,66",8.8,1,"Local Cuisine,Swimming,Eco Tours,Cultural Tours",Eco-conscious
212,55-64,"Nature,Relaxation,Adventure,Wildlife","36,21,83,30,73,65,50,87,39,18",5.2,4,"Surfing,Volunteering,Wildlife Watching,Eco Tours",Family
213,35-44,"History,Culture","35,77,68,60,67,56,100,40,6",6.7,2,"Swimming,Cultural Tours,Kayaking",Adventure
214,45-54,"Wildlife,Relaxation,Nature","66,86,42,96,23,19,32,71,33,52",5.1,1,"Museums,Eco Tours,Cycling,Wildlife Watching,Cultural Tours",Adventure
215,45-54,"Adventure,Mountains,Food","56,30,87,74,59,99,97,14,26,25",6.8,5,"Hiking,Cycling",Budget
216,45-54,"Food,Wildlife,Mountains,History,Nature",55,5.3,1,"Surfing,Wildlife Watching,Cycling",Family
217,55-64,"Mountains,Wildlife",,6.1,2,"Swimming,Volunteering,Kayaking,Wildlife Watching,Local Cuisine",Family
218,35-44,"Mountains,History","69,57,10,88,6,85,38,54,30,93",8.6,4,"Cycling,Eco Tours,Museums",Cultural
219,18-24,"Wildlife,Nature",90,7.1,4,"Historical Sites,Hiking,Cycling,Surfing,Swimming",Eco-conscious
220,18-24,"Culture,Nature,Adventure,Relaxation,Food","58,82,90,13,61,2,65",8.0,1,"Swimming,Wildlife Watching,Volunteering",Budget
221,55-64,"Adventure,Culture,Beach","83,16,40,64,60,56,21,6,47",9.1,4,"Local Cuisine,Cycling,Wildlife Watching,Eco Tours,Swimming",Eco-conscious
222,18-24,"Beach,History,Photography,Adventure,Relaxation","42,60,29,54",6.5,4,"Swimming,Wildlife Watching,Museums,Eco Tours",Solo
223,18-24,"Food,Culture","5,96,90,81,2,91,100,87,47,56",6.0,1,"Volunteering,Cycling",Budget
224,35-44,"Relaxation,History,Mountains,Nature","56,67,73,96,45,50,63,31",3.2,2,"Local Cuisine,Wildlife Watching",Cultural
225,45-54,"Photography,Wildlife,Nature,Food,Relaxation","40,60,91,66,64,99,2",9.0,5,"Cultural Tours,Cycling,Hiking,Surfing,Local Cuisine",Cultural
226,25-34,"History,Adventure","23,36,61,49,2,80,15",5.9,5,"Cultural Tours,Hiking",Family
227,45-54,"Adventure,Relaxation,History","89,100,8,5,96",7.4,3,"Kayaking,Historical Sites,Cycling",Family
228,35-44,"Mountains,History,Beach","21,99,75,67,84,46,16,40,3",5.2,4,"Historical Sites,Surfing",Luxury
229,65+,"Beach,Culture,History",,4.1,5,"Local Cuisine,Kayaking,Cycling",Adventure
230,35-44,"Photography,Adventure,Nature,Food,Wildlife","48,30,69,19",3.7,1,"Hiking,Volunteering",Adventure
231,45-54,"Wildlife,Beach,Adventure,Photography,History","51,50,58,14,3",4.8,4,"Hiking,Surfing,Kayaking,Volunteering,Wildlife Watching",Cultural
232,18-24,"Beach,Nature,Photography,Culture",,5.7,4,"Surfing,Cultural Tours,Local Cuisine",Solo
233,18-24,"Wildlife,Mountains,Nature,Adventure",,5.3,3,"Museums,Eco Tours,Hiking",Cultural
234,45-54,"Food,History,Mountains",34,6.6,1,"Museums,Swimming",Adventure
235,55-64,"Culture,Nature,Adventure,Relaxation,Mountains","35,30,25,6,19,73,61",8.9,4,"Museums,Local Cuisine,Kayaking",Eco-conscious
236,55-64,"Beach,Wildlife,Mountains,Adventure","66,70,21,18,77,33,58,22",6.4,4,"Volunteering,Cycling",Family
237,55-64,"Culture,Mountains",,7.9,3,"Cycling,Surfing,Cultural Tours,Historical Sites,Museums",Adventure
238,55-64,"Beach,Food,Culture,Relaxation","57,38,7,60,100,50,27",6.4,1,"Volunteering,Historical Sites,Swimming,Surfing",Budget
239,25-34,"Culture,Wildlife,Adventure,Relaxation","21,82,16,92,52,46,19,57,1,75",8.3,2,"Historical Sites,Wildlife Watching,Local Cuisine,Cycling",Solo
240,25-34,"Mountains,Culture,Wildlife","68,31,14,45,64,51,12,63",6.6,3,"Historical Sites,Hiking,Surfing,Cycling,Local Cuisine",Solo
241,18-24,"Food,Beach","76,38,6,54",5.1,1,"Wildlife Watching,Hiking,Museums",Family
242,55-64,"Nature,Beach",,7.3,2,"Surfing,Eco Tours",Eco-conscious
243,35-44,"Wildlife,Mountains,Relaxation,History","14,74,64,90,59,58,78",6.2,3,"Kayaking,Surfing",Luxury
244,35-44,"Wildlife,Photography","80,19,20,89,73,17,51,97,47,2",3.0,3,"Volunteering,Wildlife Watching,Eco Tours",Budget
245,55-64,"Nature,Culture,Relaxation","62,98,47",6.9,3,"Surfing,Cultural Tours,Kayaking",Solo
246,55-64,"Beach,History","30,57,11,66,17,90,26,27,43",6.1,4,"Local Cuisine,Volunteering,Swimming,Kayaking,Historical Sites",Solo
247,25-34,"Relaxation,Wildlife,History,Nature,Food","2,25,87,83",5.2,4,"Wildlife Watching,Volunteering,Historical Sites",Adventure
248,45-54,"Nature,Photography","35,95,10,14,33,31,76",5.6,1,"Surfing,Wildlife Watching",Solo
249,25-34,"Culture,Nature,Photography","92,37,42,23,81,89,43",8.2,1,"Hiking,Surfing,Eco Tours",Adventure
250,45-54,"Wildlife,Mountains,Nature,Photography","25,4,27,78,5,3,39",5.6,5,"Kayaking,Eco Tours",Adventure
251,35-44,"Beach,Nature,Photography,Food","14,87,66,52,24",5.1,5,"Swimming,Local Cuisine,Cycling",Adventure
252,18-24,"Photography,Adventure,Culture","18,3,45",3.5,3,"Museums,Volunteering",Cultural
253,18-24,"Beach,History,Wildlife","3,80,92,62,30,14,15",6.5,5,"Cycling,Kayaking,Museums",Family
254,25-34,"History,Culture","32,92,48,95,78,45,26,61",4.5,3,"Local Cuisine,Historical Sites,Cycling",Family
255,18-24,"Culture,Food,Wildlife","12,40,55,16,84,65,59,58,30,42",6.3,2,"Volunteering,Wildlife Watching",Budget
256,25-34,"Mountains,Culture,Relaxation,Beach,Nature","10,99,98,96,3,32,37,82,43,72",4.7,2,"Eco Tours,Cultural Tours,Hiking",Solo
257,25-34,"Photography,Mountains","93,21,10,25,62,73",8.7,3,"Local Cuisine,Cultural Tours,Kayaking",Adventure
258,45-54,"Nature,Relaxation,Food","48,44,12,38",8.5,3,"Wildlife Watching,Volunteering,Museums,Eco Tours",Eco-conscious
259,35-44,"Food,Nature","91,29,75",6.4,2,"Cultural Tours,Wildlife Watching,Surfing,Museums",Budget
260,55-64,"History,Adventure,Wildlife,Food,Mountains","76,86,5,39,19,89,2,42,72",10.0,5,"Wildlife Watching,Local Cuisine,Volunteering",Eco-conscious
261,18-24,"Relaxation,Mountains,Adventure,Beach",89,9.8,4,"Hiking,Historical Sites",Eco-conscious
262,65+,"Culture,Adventure","6,3,97,54,63,88,14,78,69,91",4.2,3,"Swimming,Kayaking",Family
263,45-54,"Food,Nature,Wildlife,History,Relaxation","100,38,37",9.6,5,"Wildlife Watching,Museums,Historical Sites",Eco-conscious
264,25-34,"Beach,History,Wildlife,Culture,Nature","95,31,92,33,90,10",4.5,5,"Hiking,Kayaking",Luxury
265,18-24,"History,Nature,Food,Adventure,Culture","77,66,37,85,100,63,79,41",7.1,5,"Local Cuisine,Museums,Cultural Tours,Surfing",Luxury
266,55-64,"Culture,Food,Nature","11,52,44,80,50",3.6,2,"Local Cuisine,Cycling,Wildlife Watching,Swimming,Cultural Tours",Solo
267,35-44,"Relaxation,Food,Wildlife,Photography","68,100,90,2,11",7.2,3,"Kayaking,Eco Tours,Volunteering,Cycling",Solo
268,55-64,"Mountains,History","87,45,82,9,73",5.3,1,"Wildlife Watching,Historical Sites",Adventure
269,25-34,"Photography,Culture,History,Wildlife","31,55,45",6.1,1,"Swimming,Eco Tours,Volunteering,Hiking,Museums",Family
270,55-64,"Photography,History","84,2,13,33",5.8,4,"Local Cuisine,Historical Sites,Kayaking,Volunteering,Cycling",Budget
271,55-64,"Mountains,Wildlife,Relaxation","48,74,82,7,52,95,25,87,80,56",4.5,1,"Cycling,Kayaking",Cultural
272,35-44,"Wildlife,Beach,Nature","64,31,52,73,37,85,65",7.8,4,"Surfing,Swimming",Solo
273,45-54,"Culture,Wildlife,History,Nature","10,84,67,78",7.3,4,"Historical Sites,Museums",Luxury
274,25-34,"Food,Culture","37,59,51,34,63,2,71",6.9,3,"Surfing,Museums",Luxury
275,45-54,"Wildlife,Adventure","47,51,45,24,4,69",4.5,2,"Surfing,Museums,Volunteering,Local Cuisine",Solo
276,45-54,"Mountains,Relaxation","37,31",7.4,5,"Volunteering,Kayaking,Historical Sites",Family
277,65+,"Wildlife,Culture,Food","82,58,15,57,97,100,45,12",5.8,2,"Cycling,Local Cuisine,Volunteering",Luxury
278,55-64,"Culture,Nature","55,92,35",6.4,3,"Cycling,Wildlife Watching,Surfing,Cultural Tours",Luxury
279,65+,"Photography,Beach,Adventure,Culture,Food",91,3.8,5,"Historical Sites,Cycling",Budget
280,55-64,"Adventure,Photography","34,17,35,8,39",7.2,1,"Cultural Tours,Surfing,Hiking,Kayaking",Family
281,35-44,"Mountains,Nature,Food","51,77",3.2,3,"Museums,Cycling,Hiking,Volunteering,Eco Tours",Adventure
282,35-44,"Adventure,Relaxation",47,5.8,2,"Wildlife Watching,Cycling,Eco Tours",Family
283,55-64,"Nature,Wildlife,Mountains,Photography,Culture","100,45,91,40",6.1,2,"Eco Tours,Volunteering,Historical Sites",Budget
284,45-54,"Beach,Photography","24,80,33,8",3.2,5,"Hiking,Local Cuisine",Budget
285,35-44,"Relaxation,Beach,Nature,History","67,34,33,82,48,23",7.3,5,"Volunteering,Swimming,Surfing",Eco-conscious
286,55-64,"Photography,Relaxation,Adventure","21,40,10,9,26,23",6.9,3,"Wildlife Watching,Eco Tours,Cycling,Museums,Historical Sites",Cultural
287,55-64,"Food,Wildlife,Culture,Photography","97,36",6.3,5,"Surfing,Museums,Local Cuisine,Wildlife Watching",Family
288,35-44,"Culture,Nature","57,93,64,28,65,96,78,40",7.6,4,"Wildlife Watching,Swimming,Historical Sites,Hiking,Cultural Tours",Adventure
289,45-54,"Beach,Wildlife,Photography,Mountains,Nature","21,14,51,7,27,67,70,52,5,16",7.7,4,"Kayaking,Surfing,Cultural Tours",Solo
290,55-64,"Nature,Beach,Adventure,History",1,8.3,3,"Wildlife Watching,Surfing,Cultural Tours,Volunteering",Adventure
291,65+,"Mountains,Culture",55,8.3,3,"Wildlife Watching,Museums,Kayaking,Surfing,Swimming",Eco-conscious
292,25-34,"Food,Photography",,5.8,5,"Hiking,Museums",Budget
293,65+,"Relaxation,Culture,Photography,Beach",,6.2,2,"Cycling,Eco Tours",Family
294,65+,"Adventure,History,Culture,Nature,Relaxation",20,6.4,5,"Eco Tours,Surfing,Hiking",Family
295,55-64,"Culture,Beach,Adventure,Relaxation","39,51,17,7,2",7.5,4,"Cultural Tours,Local Cuisine,Volunteering,Surfing,Eco Tours",Cultural
296,45-54,"Relaxation,Mountains,Food,History","38,72,65,27,83,89,25,90,13",6.5,5,"Volunteering,Museums,Cultural Tours",Family
297,18-24,"Mountains,History,Photography,Wildlife,Food","84,68,3,72,79",6.9,2,"Surfing,Eco Tours,Swimming,Volunteering,Hiking",Luxury
298,35-44,"Beach,Nature,Adventure,Wildlife,Food","35,69,8,65,54,82,55,49,83,100",6.1,3,"Kayaking,Eco Tours,Local Cuisine",Family
299,65+,"Mountains,Food,History,Photography,Relaxation",74,6.5,4,"Local Cuisine,Wildlife Watching,Hiking",Cultural
300,35-44,"Food,Culture",,6.1,5,"Cultural Tours,Surfing,Historical Sites,Eco Tours",Budget
301,25-34,"Mountains,Culture",70,4.5,2,"Cycling,Hiking,Eco Tours,Surfing,Local Cuisine",Adventure
302,25-34,"Mountains,Nature",18,9.5,2,"Cycling,Hiking,Eco Tours,Swimming",Eco-conscious
303,35-44,"Food,Wildlife","57,53,21,90,49",8.0,5,"Swimming,Kayaking,Eco Tours,Wildlife Watching",Luxury
304,45-54,"Culture,Relaxation,Beach","85,16,37",6.5,3,"Hiking,Wildlife Watching,Swimming,Historical Sites,Surfing",Family
305,55-64,"Photography,Relaxation,Adventure",,7.1,5,"Cultural Tours,Local Cuisine,Wildlife Watching,Kayaking,Swimming",Luxury
306,18-24,"Culture,Nature","49,5,35",7.2,3,"Museums,Eco Tours",Budget
307,35-44,"Relaxation,Nature,Photography,Beach,Adventure","65,22,36,28,51",7.3,2,"Museums,Swimming,Hiking,Wildlife Watching",Family
308,35-44,"Mountains,Relaxation",,5.2,5,"Local Cuisine,Cultural Tours",Adventure
309,45-54,"Wildlife,Beach,Relaxation,Culture","25,98,68,96,34,14,42",8.0,2,"Museums,Local Cuisine,Eco Tours,Kayaking,Cycling",Solo
310,18-24,"Food,Adventure","48,17,74,90,55,81",5.1,1,"Cultural Tours,Surfing,Volunteering,Local Cuisine",Cultural
311,55-64,"Wildlife,History,Beach","47,38,93",8.4,3,"Wildlife Watching,Museums",Eco-conscious
312,45-54,"Mountains,Photography,Food,Culture","43,36",7.0,5,"Swimming,Eco Tours,Kayaking,Historical Sites,Surfing",Luxury
313,65+,"Relaxation,Photography","5,73,22,6,67,20,72",5.6,3,"Local Cuisine,Historical Sites,Cycling,Surfing,Wildlife Watching",Cultural
314,45-54,"Wildlife,Mountains,Adventure,Relaxation","18,71,22,1,24,96,47,15",8.7,2,"Hiking,Cultural Tours,Local Cuisine,Swimming,Surfing",Solo
315,18-24,"Culture,Beach,Food,Nature","73,19,86,83,35,45,52",5.6,5,"Historical Sites,Swimming,Cycling,Volunteering",Budget
316,35-44,"Culture,History,Mountains,Nature,Wildlife","49,81,73,51",6.5,1,"Hiking,Surfing,Cycling",Family
317,55-64,"Mountains,Nature,Photography","32,79,57,42,40,18,91",9.0,2,"Local Cuisine,Hiking,Historical Sites,Cycling,Kayaking",Cultural
318,45-54,"Mountains,Photography,Beach","38,60,86,84",5.2,2,"Swimming,Kayaking",Cultural
319,25-34,"Adventure,Mountains","52,66",3.9,2,"Surfing,Cycling",Solo
320,25-34,"Beach,Mountains,Photography,History,Relaxation","57,43,53",8.2,2,"Historical Sites,Local Cuisine,Cycling,Eco Tours",Eco-conscious
321,18-24,"History,Wildlife,Adventure,Beach,Relaxation","68,42,37,28,45,58,72,78,43,77",7.4,4,"Kayaking,Historical Sites,Cycling,Museums,Wildlife Watching",Cultural
322,45-54,"Wildlife,Culture,Beach","38,42",3.5,5,"Cultural Tours,Kayaking,Historical Sites,Local Cuisine,Wildlife Watching",Adventure
323,35-44,"Culture,Photography,Food","94,61,41,70,43,79,87,28",9.8,3,"Surfing,Swimming,Museums,Cycling",Eco-conscious
324,18-24,"Mountains,Nature,History","11,7,24,59,26,17,98,90,35",7.2,1,"Museums,Cycling,Volunteering,Local Cuisine,Cultural Tours",Cultural
325,25-34,"Nature,Mountains,Photography,History,Relaxation","96,72",4.8,4,"Swimming,Cycling,Museums,Cultural Tours",Solo
326,65+,"Nature,Photography,Beach","33,64,58,63",7.1,4,"Wildlife Watching,Volunteering,Local Cuisine",Adventure
327,25-34,"Wildlife,Beach,Food","71,30,56,43,36",8.0,3,"Historical Sites,Hiking",Eco-conscious
328,25-34,"Adventure,Food,History","22,86,65,99,53,50,26,9",7.3,5,"Cultural Tours,Swimming",Solo
329,55-64,"Wildlife,Adventure,Culture,Relaxation,Food","84,50,60,15",5.2,2,"Swimming,Surfing,Local Cuisine,Hiking",Luxury
330,18-24,"Mountains,History,Relaxation,Adventure",,4.3,5,"Eco Tours,Volunteering,Swimming",Cultural
331,35-44,"History,Mountains,Wildlife,Adventure","65,93,5,16,90",5.5,3,"Cycling,Volunteering",Solo
332,18-24,"Beach,Nature,Relaxation,Culture,Mountains","46,84,11,76,83,58,12,63,2",3.2,2,"Local Cuisine,Cultural Tours,Eco Tours,Volunteering",Adventure
333,55-64,"Nature,Wildlife",,9.7,2,"Surfing,Volunteering,Eco Tours,Swimming",Eco-conscious
334,45-54,"Adventure,Wildlife","33,29,71,27,14,53",7.6,4,"Cycling,Swimming,Eco Tours,Wildlife Watching,Surfing",Cultural
335,55-64,"Culture,Relaxation,Mountains,Beach,Food",,5.7,5,"Surfing,Museums,Hiking,Kayaking",Luxury
336,55-64,"Relaxation,Nature,Food,History,Mountains","25,23,68,95,34,7,49,38",7.8,3,"Local Cuisine,Volunteering,Wildlife Watching,Kayaking,Surfing",Adventure
337,65+,"Mountains,History,Food,Culture",,5.7,5,"Local Cuisine,Hiking",Budget
338,45-54,"History,Relaxation,Adventure","24,98,1,59,97",4.8,4,"Cultural Tours,Local Cuisine,Hiking,Surfing,Historical Sites",Cultural
339,65+,"History,Nature,Photography","23,70,11,86",3.3,5,"Cultural Tours,Surfing,Historical Sites,Museums,Volunteering",Cultural
340,55-64,"Nature,Relaxation,Adventure,Wildlife,Beach","15,50,10,97",6.0,5,"Historical Sites,Surfing,Eco Tours",Adventure
341,35-44,"Nature,Beach,Mountains,History","34,28,54,37,18",6.1,5,"Eco Tours,Local Cuisine,Hiking,Swimming",Solo
342,35-44,"Nature,Culture,Mountains,Relaxation","40,86,89,92,16,68,8",6.5,5,"Local Cuisine,Cultural Tours,Cycling,Eco Tours",Family
343,35-44,"Wildlife,Culture,History","12,17,21,64,70,67,36,40",7.6,2,"Volunteering,Surfing,Kayaking,Swimming",Budget
344,35-44,"Nature,Food,Adventure",,6.1,2,"Hiking,Surfing",Cultural
345,55-64,"Relaxation,Adventure,Wildlife,Culture","61,98,48,43",6.2,1,"Historical Sites,Cultural Tours,Wildlife Watching,Eco Tours,Kayaking",Adventure
346,65+,"Adventure,Mountains","38,23,73,83,58,45,25",6.3,1,"Museums,Volunteering,Local Cuisine",Cultural
347,65+,"History,Nature","44,82",7.4,5,"Eco Tours,Wildlife Watching,Cycling",Eco-conscious
348,18-24,"Nature,Relaxation,Wildlife,Adventure,History","67,15,5,57,29,84,90,39,88",3.8,5,"Local Cuisine,Kayaking,Museums",Budget
349,45-54,"Mountains,History","31,84,90,42,88,65,18",3.5,5,"Local Cuisine,Eco Tours,Volunteering,Cultural Tours,Wildlife Watching",Cultural
350,55-64,"Beach,Photography,Relaxation,Culture","92,48,66,82,83",6.4,5,"Surfing,Cultural Tours,Hiking,Historical Sites",Solo
351,65+,"Food,History",,4.1,3,"Eco Tours,Cycling",Family
352,65+,"History,Mountains,Adventure,Photography,Wildlife","62,3,59,5,90,41,61,98,94,31",4.2,3,"Cultural Tours,Hiking,Surfing,Eco Tours,Swimming",Adventure
353,18-24,"Beach,Culture,History,Mountains,Food","38,76,31,84,52",3.9,2,"Kayaking,Hiking,Local Cuisine",Adventure
354,18-24,"Food,Relaxation,Adventure","29,55,95,2,99",7.2,4,"Kayaking,Surfing,Hiking,Cycling,Volunteering",Cultural
355,35-44,"History,Beach,Food,Adventure",32,5.3,5,"Eco Tours,Historical Sites,Local Cuisine,Cultural Tours",Adventure
356,45-54,"Beach,Photography","6,36,74,52,10,60",5.0,2,"Hiking,Volunteering",Budget
357,35-44,"Adventure,History","70,81,63,78,22,3,25,82,97",3.7,5,"Wildlife Watching,Local Cuisine",Budget
358,65+,"Mountains,Food,Photography","73,18,9,96,51",4.5,1,"Volunteering,Hiking,Kayaking,Local Cuisine",Cultural
359,35-44,"Wildlife,Culture,Adventure,Beach,Nature","62,69,58,14,25,87,41,61",6.0,4,"Historical Sites,Wildlife Watching,Eco Tours,Kayaking",Luxury
360,65+,"Food,Beach,Mountains","7,76",7.7,4,"Surfing,Cycling,Hiking,Cultural Tours,Eco Tours",Cultural
361,25-34,"Adventure,Photography","94,84,31,26,64,20,100,38,99,51",7.7,4,"Historical Sites,Hiking,Surfing,Eco Tours,Swimming",Eco-conscious
362,55-64,"Photography,Food,Wildlife","49,79,39",8.1,4,"Wildlife Watching,Volunteering,Cultural Tours,Local Cuisine",Eco-conscious
363,35-44,"Relaxation,Culture","50,33",8.5,5,"Cultural Tours,Swimming,Kayaking,Hiking,Historical Sites",Solo
364,55-64,"Culture,Adventure","38,81",9.9,3,"Hiking,Wildlife Watching",Eco-conscious
365,65+,"Nature,Photography","53,85,12,95,45,31,56",3.3,2,"Surfing,Hiking,Eco Tours,Cultural Tours",Solo
366,55-64,"Food,Wildlife,Relaxation,Mountains","75,87",3.6,2,"Historical Sites,Cycling",Cultural
367,35-44,"Food,Photography","1,27,9,77,28",3.4,5,"Hiking,Wildlife Watching,Kayaking,Cycling,Volunteering",Adventure
368,65+,"Food,History",28,7.6,1,"Historical Sites,Wildlife Watching,Museums",Eco-conscious
369,18-24,"Beach,Mountains","49,20,97,6,85",4.9,5,"Cultural Tours,Museums",Family
370,45-54,"Food,Photography,Culture","98,86,26,84,37,34,30,38,41,33",7.7,2,"Swimming,Wildlife Watching,Hiking,Kayaking,Cycling",Luxury
371,45-54,"Beach,History","6,11",4.6,2,"Hiking,Volunteering,Cultural Tours",Family
372,45-54,"Photography,History,Food","100,28,88,3,42,36,72,25,80,76",8.8,4,"Local Cuisine,Museums,Wildlife Watching,Eco Tours,Kayaking",Solo
373,65+,"Culture,Adventure","28,39,37",8.2,1,"Hiking,Cycling,Local Cuisine,Historical Sites,Cultural Tours",Eco-conscious
374,65+,"Mountains,Wildlife,Nature,Relaxation",,5.7,2,"Kayaking,Surfing,Hiking,Eco Tours,Historical Sites",Adventure
375,55-64,"History,Culture","45,90,99,12",5.2,3,"Cycling,Eco Tours,Local Cuisine,Historical Sites,Wildlife Watching",Luxury
376,45-54,"History,Adventure","69,39,21,41,23,30",5.7,1,"Cycling,Museums,Eco Tours,Swimming,Volunteering",Cultural
377,65+,"Relaxation,Photography,Wildlife","86,63,76",8.7,4,"Cultural Tours,Hiking,Wildlife Watching",Eco-conscious
378,35-44,"Nature,Wildlife,Culture,Relaxation","61,53,30",5.8,5,"Eco Tours,Kayaking,Surfing,Local Cuisine",Solo
379,65+,"Photography,Adventure,Culture","41,15,53,26,100,99,47",7.7,5,"Wildlife Watching,Surfing,Historical Sites,Eco Tours",Family
380,35-44,"Beach,Mountains,Photography,Adventure","57,10,9,52,59,78,90,84",7.4,4,"Swimming,Local Cuisine,Surfing",Cultural
381,65+,"Mountains,Photography,Beach","53,52,40,92,19,35,39,37,61",6.9,1,"Hiking,Local Cuisine,Historical Sites,Surfing",Luxury
382,18-24,"Wildlife,Beach","95,70",8.0,4,"Cultural Tours,Cycling",Solo
383,18-24,"Beach,Culture","27,28,65,45,48,32,77,42,43",4.3,2,"Local Cuisine,Historical Sites",Family
384,55-64,"Photography,History,Beach,Adventure",,5.0,1,"Swimming,Local Cuisine,Volunteering,Museums,Cycling",Family
385,55-64,"Nature,Beach,Photography,Food","2,56,36,28,11,85,80,76,75,47",5.9,5,"Cultural Tours,Hiking,Wildlife Watching,Cycling,Swimming",Budget
386,35-44,"Beach,Photography,Wildlife,Relaxation","98,52,1,64,59,87,74,92,24,48",7.6,2,"Historical Sites,Museums,Swimming,Wildlife Watching",Cultural
387,55-64,"Nature,Photography,Wildlife,Food,Relaxation","71,89,85,83,28",5.6,3,"Eco Tours,Wildlife Watching,Historical Sites,Volunteering,Museums",Family
388,25-34,"History,Mountains,Relaxation,Beach,Nature","54,33,1",8.6,5,"Eco Tours,Surfing,Local Cuisine",Adventure
389,65+,"History,Wildlife,Beach","69,99,24,14",4.5,1,"Surfing,Kayaking,Swimming,Local Cuisine",Cultural
390,35-44,"Adventure,Relaxation,Photography,Nature,Culture","54,75,10,72",7.1,4,"Eco Tours,Local Cuisine,Historical Sites,Cycling",Solo
391,45-54,"Beach,Nature,Adventure","48,59,34,6,25,100,52,13,55",7.1,3,"Hiking,Kayaking",Solo
392,35-44,"Nature,Adventure","51,13,92,57",6.9,2,"Cycling,Wildlife Watching,Museums",Solo
393,18-24,"Nature,Beach,Relaxation","33,75,7",9.6,5,"Surfing,Volunteering,Cycling,Kayaking,Museums",Eco-conscious
394,45-54,"Culture,Photography,Mountains,Adventure,Nature","44,42,50",6.3,3,"Hiking,Local Cuisine",Family
395,25-34,"Wildlife,Culture,Food,Beach,History",38,6.1,3,"Eco Tours,Cycling",Family
396,35-44,"Wildlife,Photography,Nature","61,41,45,80,97,86,90,96,73",3.1,2,"Local Cuisine,Wildlife Watching,Surfing,Cycling",Adventure
397,18-24,"Photography,Relaxation,Nature",,8.6,3,"Hiking,Cycling,Historical Sites",Adventure
398,45-54,"Food,Relaxation,Photography,Mountains","42,46,43,99,1,74",8.5,5,"Kayaking,Hiking,Historical Sites,Volunteering",Solo
399,45-54,"History,Mountains,Nature","30,51",5.3,5,"Cultural Tours,Hiking,Cycling",Solo
400,45-54,"History,Photography,Wildlife,Relaxation,Mountains","5,49,94",3.3,3,"Wildlife Watching,Cultural Tours",Adventure
401,35-44,"Beach,Mountains","79,93,24",4.3,4,"Hiking,Kayaking,Swimming",Budget
402,55-64,"Mountains,Wildlife,Beach,Culture","12,72,48,30,53,94,83,35,24,15",4.7,1,"Kayaking,Swimming,Local Cuisine,Cultural Tours",Budget
403,25-34,"Wildlife,Food,Photography","73,50,92,47,99,70,94",7.7,3,"Swimming,Cycling",Cultural
404,35-44,"Nature,Culture",2,7.5,1,"Volunteering,Cycling",Cultural
405,35-44,"Food,Mountains","87,37,70,25,77,74,71,1,100,62",6.3,1,"Kayaking,Hiking,Surfing",Cultural
406,65+,"History,Wildlife,Nature,Relaxation,Adventure",,3.4,4,"Cultural Tours,Kayaking,Historical Sites,Local Cuisine",Solo
407,65+,"Adventure,History,Photography,Wildlife","6,16",7.3,3,"Eco Tours,Swimming,Kayaking,Wildlife Watching",Budget
408,35-44,"Beach,Adventure,History","67,86,6,22,78,13",5.4,2,"Swimming,Museums,Eco Tours,Local Cuisine,Surfing",Solo
409,45-54,"Beach,Photography","64,9,91,89,84,40,54,57,93",7.8,4,"Historical Sites,Surfing,Volunteering,Cycling",Cultural
410,25-34,"Nature,Beach","85,79,98,76,20,29,24",7.2,4,"Wildlife Watching,Kayaking",Solo
411,25-34,"Mountains,Relaxation,Culture","52,62,40,2,18,4,67,22,57",5.9,4,"Museums,Wildlife Watching,Eco Tours,Surfing",Adventure
412,25-34,"Beach,Food","11,86,24,27",8.0,2,"Swimming,Volunteering,Hiking",Cultural
413,55-64,"History,Culture,Photography","36,38,28,82,69,57",7.3,3,"Swimming,Volunteering,Museums,Kayaking",Eco-conscious
414,25-34,"History,Culture","73,4,79,59",3.6,3,"Historical Sites,Kayaking,Local Cuisine,Volunteering,Cultural Tours",Solo
415,45-54,"Relaxation,Beach,Adventure,Culture,History","37,59,23,26,70,88,94,45,97,67",5.5,3,"Cultural Tours,Hiking,Surfing,Local Cuisine",Adventure
416,55-64,"Relaxation,Food,Mountains,Beach","87,92,46,90,30",7.1,2,"Hiking,Historical Sites,Wildlife Watching",Cultural
417,18-24,"Photography,Nature,History,Beach","87,24,23,17",4.7,4,"Swimming,Historical Sites",Adventure
418,25-34,"History,Adventure,Relaxation,Nature","65,69,41,63,22,91",5.8,2,"Local Cuisine,Cultural Tours,Museums,Cycling",Solo
419,45-54,"Photography,Adventure,History","91,59,99",5.1,1,"Museums,Cultural Tours,Historical Sites,Local Cuisine,Kayaking",Cultural
420,25-34,"Photography,Relaxation","44,75,9,36,78",7.0,5,"Eco Tours,Swimming,Surfing",Family
421,25-34,"Food,Adventure,Wildlife,Nature,Relaxation","92,55,29,93,77,17,4",8.8,1,"Eco Tours,Cycling,Kayaking,Hiking,Local Cuisine",Eco-conscious
422,35-44,"Wildlife,Mountains,Photography,Beach",4,9.0,5,"Surfing,Cycling",Eco-conscious
423,18-24,"Culture,Relaxation,History,Photography","91,36,53",7.1,4,"Kayaking,Historical Sites,Cultural Tours,Eco Tours,Museums",Eco-conscious
